"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
200;3;"—";230;"78 80 72";0;"Участвуете в конкурсе";1190240;"28.06.2026 в 14:02"
201;2;"—";230;"78 83 69";0;"На рассмотрении";1573586;"03.07.2026 в 18:48"
202;2;"—";230;"78 74 78";0;"Передано в вуз";1630370;"05.07.2026 в 09:26"
203;3;"Электронное";229;"74 77 78";0;"На рассмотрении";1081975;"24.06.2026 в 09:16"
204;1;"—";229;"88 72 69";0;"На рассмотрении";1624990;"04.07.2026 в 21:40"
205;5;"—";229;"84 75 69";1;"На рассмотрении";1618426;"04.07.2026 в 17:39"
206;4;"—";229;"86 48 89";6;"Участвуете в конкурсе";1116170;"25.06.2026 в 11:44"
207;1;"—";229;"84 67 72";6;"Участвуете в конкурсе";1154202;"26.06.2026 в 17:43"
208;3;"—";229;"74 68 81";6;"Участвуете в конкурсе";1360972;"30.06.2026 в 21:35"
209;1;"—";229;"82 65 75";7;"Участвуете в конкурсе";1244672;"29.06.2026 в 21:23"
210;5;"—";229;"74 76 72";7;"Участвуете в конкурсе";1278559;"29.06.2026 в 21:59"
211;2;"—";228;"76 88 64";0;"На рассмотрении";1048765;"23.06.2026 в 09:25"
212;4;"—";228;"86 78 64";0;"Участвуете в конкурсе";1256974;"01.07.2026 в 09:02"
213;1;"—";228;"78 64 86";0;"Участвуете в конкурсе";1363251;"30.06.2026 в 22:26"
214;2;"—";228;"82 73 73";0;"На рассмотрении";1417328;"03.07.2026 в 16:37"
215;3;"—";228;"84 78 66";0;"На рассмотрении";1551120;"03.07.2026 в 17:07"
216;5;"—";228;"74 84 70";0;"На рассмотрении";1587198;"04.07.2026 в 02:00"
217;4;"—";228;"84 61 83";0;"На рассмотрении";1621579;"04.07.2026 в 19:23"
218;2;"—";228;"96 79 52";1;"Участвуете в конкурсе";1242439;"29.06.2026 в 21:20"
219;5;"Электронное";228;"76 74 72";6;"Участвуете в конкурсе";947281;"20.06.2026 в 09:35"
220;3;"—";227;"90 70 67";0;"Участвуете в конкурсе";1072055;"28.06.2026 в 09:36"
221;2;"—";227;"80 80 67";0;"На рассмотрении";1271431;"29.06.2026 в 21:55"
222;3;"—";227;"86 75 66";0;"На рассмотрении";1540954;"03.07.2026 в 14:01"
223;5;"Электронное";227;"78 77 72";0;"Передано в вуз";1635489;"05.07.2026 в 13:13"
224;4;"—";227;"76 73 72";6;"Участвуете в конкурсе";1222444;"29.06.2026 в 22:03"
225;3;"—";227;"76 64 81";6;"На рассмотрении";1613807;"04.07.2026 в 15:38"
226;1;"—";227;"72 67 81";7;"На рассмотрении";1269145;"29.06.2026 в 21:54"
227;1;"—";226;"82 78 66";0;"На рассмотрении";1188871;"04.07.2026 в 14:55"
228;4;"—";226;"78 90 58";0;"Участвуете в конкурсе";1210411;"30.06.2026 в 23:35"
229;3;"—";226;"86 73 67";0;"Участвуете в конкурсе";1419903;"01.07.2026 в 16:24"
230;2;"Электронное";226;"88 68 70";0;"На рассмотрении";1497229;"02.07.2026 в 16:19"
231;3;"—";226;"78 75 73";0;"На рассмотрении";1589590;"04.07.2026 в 07:51"
232;4;"—";226;"78 78 69";1;"На рассмотрении";1485191;"02.07.2026 в 14:18"
233;2;"—";225;"82 70 73";0;"На рассмотрении";989165;"04.07.2026 в 10:04"
234;5;"—";225;"96 59 70";0;"Участвуете в конкурсе";995616;"21.06.2026 в 14:30"
235;2;"—";225;"72 80 73";0;"Участвуете в конкурсе";1335616;"30.06.2026 в 15:48"
236;1;"Электронное";225;"84 83 58";0;"Участвуете в конкурсе";1356743;"30.06.2026 в 20:07"
237;5;"—";225;"74 79 72";0;"На рассмотрении";1507317;"02.07.2026 в 18:37"
238;2;"—";225;"88 62 75";0;"На рассмотрении";1522471;"03.07.2026 в 01:31"
239;2;"—";225;"80 75 69";1;"На рассмотрении";1263556;"29.06.2026 в 21:48"
240;2;"Электронное";225;"74 64 81";6;"Участвуете в конкурсе";1172348;"27.06.2026 в 15:53"
241;3;"Электронное";225;"74 78 63";10;"Участвуете в конкурсе";1264310;"29.06.2026 в 21:49"
242;2;"—";224;"74 67 83";0;"Участвуете в конкурсе";1204723;"28.06.2026 в 18:29"
243;3;"—";224;"84 80 60";0;"Участвуете в конкурсе";1281557;"30.06.2026 в 15:16"
244;2;"—";224;"76 70 78";0;"Участвуете в конкурсе";1321662;"30.06.2026 в 13:05"
245;2;"—";224;"80 72 72";0;"Участвуете в конкурсе";1329438;"30.06.2026 в 14:29"
246;5;"—";224;"74 78 72";0;"На рассмотрении";1569685;"03.07.2026 в 18:30"
247;6;"—";224;"78 70 70";6;"Участвуете в конкурсе";1215116;"01.07.2026 в 20:33"
248;3;"—";223;"78 72 67";6;"Участвуете в конкурсе";1368005;"01.07.2026 в 02:48"
249;2;"—";222;"84 78 60";0;"На рассмотрении";1602344;"04.07.2026 в 12:10"
250;4;"Электронное";222;"86 67 69";0;"На рассмотрении";1625896;"04.07.2026 в 22:24"
251;4;"—";222;"74 64 81";3;"Участвуете в конкурсе";1201963;"28.06.2026 в 17:12"
252;4;"Электронное";221;"80 80 61";0;"На рассмотрении";1193074;"01.07.2026 в 17:34"
253;1;"—";221;"78 54 89";0;"Участвуете в конкурсе";1396118;"01.07.2026 в 22:36"
254;1;"—";221;"76 78 67";0;"Участвуете в конкурсе";1431011;"01.07.2026 в 19:06"
255;5;"—";221;"74 80 67";0;"На рассмотрении";1576869;"03.07.2026 в 19:06"
