"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
931;4;"—";203;"72 67 64";0;"На рассмотрении";1493064;"02.07.2026 в 16:20"
932;4;"Электронное";203;"70 70 63";0;"На рассмотрении";1519459;"02.07.2026 в 22:57"
933;4;"—";203;"72 58 67";6;"Участвуете в конкурсе";1192701;"28.06.2026 в 13:34"
934;2;"—";203;"76 51 70";6;"На рассмотрении";1267137;"29.06.2026 в 21:52"
935;1;"—";202;"74 59 69";0;"Участвуете в конкурсе";1351641;"30.06.2026 в 18:36"
936;1;"—";202;"82 59 61";0;"На рассмотрении";1570116;"03.07.2026 в 18:32"
937;5;"—";202;"78 46 78";0;"На рассмотрении";1578991;"03.07.2026 в 19:56"
938;2;"—";202;"70 64 67";1;"Участвуете в конкурсе";1359745;"30.06.2026 в 21:09"
939;1;"—";202;"58 68 70";6;"На рассмотрении";1494342;"02.07.2026 в 15:44"
940;4;"—";201;"76 67 58";0;"На рассмотрении";1148316;"04.07.2026 в 11:35"
941;2;"—";201;"72 56 73";0;"Участвуете в конкурсе";1174794;"27.06.2026 в 17:35"
942;2;"Электронное";201;"76 80 45";0;"Конкурсная группа исключена";1335529;"30.06.2026 в 19:38"
943;2;"—";201;"70 62 69";0;"На рассмотрении";1537362;"03.07.2026 в 10:51"
944;3;"—";201;"76 67 58";0;"Передано в вуз";1635682;"05.07.2026 в 13:18"
945;2;"—";200;"82 64 54";0;"На рассмотрении";1200498;"04.07.2026 в 11:56"
946;2;"—";200;"74 62 64";0;"На рассмотрении";1239905;"03.07.2026 в 21:31"
947;1;"—";200;"74 59 67";0;"На рассмотрении";1247827;"02.07.2026 в 15:17"
948;3;"—";200;"72 59 69";0;"Участвуете в конкурсе";1285328;"01.07.2026 в 23:09"
949;6;"—";200;"70 67 63";0;"Участвуете в конкурсе";1346332;"30.06.2026 в 17:12"
950;6;"—";200;"72 58 70";0;"Участвуете в конкурсе";1355452;"30.06.2026 в 19:43"
951;5;"Электронное";200;"72 64 64";0;"Участвуете в конкурсе";1358323;"30.06.2026 в 23:01"
952;3;"—";200;"74 75 51";0;"На рассмотрении";1493402;"02.07.2026 в 15:35"
953;5;"Электронное";200;"78 62 60";0;"На рассмотрении";1497242;"02.07.2026 в 16:19"
954;1;"—";200;"86 64 49";1;"Участвуете в конкурсе";1352556;"30.06.2026 в 18:52"
955;4;"—";200;"76 59 64";1;"На рассмотрении";1553908;"03.07.2026 в 17:16"
956;4;"—";199;"78 67 54";0;"Участвуете в конкурсе";1184110;"29.06.2026 в 21:40"
957;5;"—";199;"76 56 67";0;"На рассмотрении";1304503;"04.07.2026 в 14:58"
958;4;"—";199;"70 75 54";0;"Участвуете в конкурсе";1428391;"01.07.2026 в 18:22"
959;3;"—";199;"76 48 75";0;"На рассмотрении";1470820;"02.07.2026 в 12:06"
960;2;"—";199;"70 64 64";1;"На рассмотрении";1579959;"03.07.2026 в 20:23"
