"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
463;3;"—";212;"76 75 61";0;"На рассмотрении";1609386;"04.07.2026 в 14:07"
464;1;"—";211;"72 75 64";0;"Участвуете в конкурсе";1257632;"29.06.2026 в 21:39"
465;5;"—";211;"76 72 63";0;"На рассмотрении";1620278;"04.07.2026 в 18:40"
466;5;"Электронное";210;"80 61 69";0;"Передано в вуз";1631784;"05.07.2026 в 10:55"
467;2;"—";210;"70 64 75";1;"Участвуете в конкурсе";1297247;"30.06.2026 в 08:07"
468;1;"—";209;"70 62 77";0;"Участвуете в конкурсе";939261;"20.06.2026 в 04:17"
469;6;"—";209;"74 54 81";0;"Участвуете в конкурсе";974458;"20.06.2026 в 15:51"
470;5;"—";209;"72 62 75";0;"Участвуете в конкурсе";1135230;"26.06.2026 в 06:52"
471;4;"—";209;"80 62 67";0;"Участвуете в конкурсе";1358344;"02.07.2026 в 19:27"
472;2;"—";209;"74 72 63";0;"Передано в вуз";1543083;"05.07.2026 в 14:01"
473;1;"—";209;"80 62 67";0;"На рассмотрении";1549056;"03.07.2026 в 17:00"
474;6;"—";209;"76 77 55";1;"На рассмотрении";1621653;"04.07.2026 в 19:25"
475;4;"—";207;"78 48 81";0;"Конкурсная группа исключена";963549;"24.06.2026 в 12:41"
476;1;"—";207;"80 54 73";0;"Участвуете в конкурсе";1360459;"30.06.2026 в 21:23"
477;5;"—";207;"74 64 69";0;"На рассмотрении";1441838;"03.07.2026 в 16:44"
478;5;"Электронное";207;"70 65 72";0;"Передано в вуз";1636248;"05.07.2026 в 13:34"
479;5;"—";206;"64 76 66";0;"На рассмотрении";1264896;"29.06.2026 в 21:49"
480;1;"—";206;"74 68 64";0;"Участвуете в конкурсе";1298358;"30.06.2026 в 08:38"
481;7;"—";205;"72 72 61";0;"Участвуете в конкурсе";1099939;"24.06.2026 в 16:38"
482;6;"—";204;"78 56 70";0;"Участвуете в конкурсе";1209487;"28.06.2026 в 20:39"
483;2;"—";204;"76 64 64";0;"Участвуете в конкурсе";1350560;"30.06.2026 в 18:17"
484;3;"—";204;"64 70 64";6;"Участвуете в конкурсе";1076929;"01.07.2026 в 22:34"
485;1;"—";203;"72 61 70";0;"Участвуете в конкурсе";841018;"28.06.2026 в 17:54"
486;6;"—";203;"64 78 61";0;"Передано в вуз";1633506;"05.07.2026 в 12:06"
487;5;"—";202;"74 62 66";0;"На рассмотрении";955449;"20.06.2026 в 11:11"
488;4;"—";202;"70 72 60";0;"Участвуете в конкурсе";1295458;"30.06.2026 в 07:03"
489;4;"—";202;"72 72 58";0;"Участвуете в конкурсе";1425100;"01.07.2026 в 17:31"
490;8;"—";201;"72 56 73";0;"Участвуете в конкурсе";1174794;"27.06.2026 в 17:35"
491;1;"—";201;"80 46 75";0;"Участвуете в конкурсе";1252511;"29.06.2026 в 21:32"
492;3;"—";201;"72 72 57";0;"Участвуете в конкурсе";1379429;"01.07.2026 в 10:08"
493;3;"—";201;"74 67 60";0;"Передано в вуз";1380139;"05.07.2026 в 15:07"
494;2;"—";201;"74 64 63";0;"Участвуете в конкурсе";1402116;"01.07.2026 в 13:38"
495;4;"Электронное";201;"64 64 73";0;"На рассмотрении";1551754;"03.07.2026 в 17:33"
496;2;"Электронное";201;"70 62 63";6;"Участвуете в конкурсе";1093211;"24.06.2026 в 13:50"
497;3;"—";200;"74 62 64";0;"На рассмотрении";1239905;"03.07.2026 в 21:31"
498;4;"—";200;"86 64 49";1;"Участвуете в конкурсе";1352556;"30.06.2026 в 18:52"
499;4;"—";199;"70 62 67";0;"Участвуете в конкурсе";972993;"01.07.2026 в 10:08"
500;1;"—";199;"80 56 63";0;"Участвуете в конкурсе";1043376;"22.06.2026 в 23:10"
501;1;"—";199;"64 75 60";0;"Участвуете в конкурсе";1323093;"30.06.2026 в 15:18"
502;2;"—";199;"70 75 54";0;"Участвуете в конкурсе";1428391;"01.07.2026 в 18:22"
503;2;"—";199;"82 54 63";0;"На рассмотрении";1590593;"04.07.2026 в 12:28"
504;2;"—";198;"78 62 58";0;"Конкурсная группа исключена";1176911;"27.06.2026 в 19:07"
505;1;"—";198;"80 58 60";0;"Участвуете в конкурсе";1209397;"28.06.2026 в 20:36"
506;5;"—";197;"70 61 66";0;"Участвуете в конкурсе";1188910;"28.06.2026 в 11:55"
507;2;"—";197;"70 70 57";0;"Участвуете в конкурсе";1380760;"01.07.2026 в 10:23"
508;3;"—";197;"72 58 66";1;"На рассмотрении";1519633;"03.07.2026 в 22:43"
509;2;"—";196;"70 54 72";0;"Участвуете в конкурсе";1277522;"29.06.2026 в 21:58"
510;2;"Электронное";196;"64 59 72";1;"Участвуете в конкурсе";1261723;"29.06.2026 в 21:45"
511;5;"—";195;"58 70 67";0;"Участвуете в конкурсе";990535;"21.06.2026 в 12:08"
512;7;"—";195;"76 59 60";0;"Конкурсная группа исключена";1241115;"30.06.2026 в 00:40"
513;4;"—";195;"70 62 63";0;"Передано в вуз";1636934;"05.07.2026 в 14:18"
514;2;"Электронное";194;"70 72 52";0;"Участвуете в конкурсе";1264140;"29.06.2026 в 21:48"
515;6;"—";194;"76 46 72";0;"Участвуете в конкурсе";1438297;"01.07.2026 в 21:20"
516;6;"—";194;"58 75 61";0;"На рассмотрении";1582248;"03.07.2026 в 21:38"
517;2;"—";192;"74 64 54";0;"Участвуете в конкурсе";1181571;"27.06.2026 в 23:37"
518;2;"—";191;"64 64 63";0;"Участвуете в конкурсе";1193592;"28.06.2026 в 13:55"
519;1;"Электронное";191;"80 59 52";0;"На рассмотрении";1466822;"02.07.2026 в 11:30"
520;5;"—";191;"80 48 63";0;"На рассмотрении";1477835;"02.07.2026 в 13:10"
521;4;"—";191;"72 56 63";0;"На рассмотрении";1479856;"03.07.2026 в 14:33"
522;2;"—";191;"70 48 72";1;"На рассмотрении";1299379;"04.07.2026 в 10:00"
523;2;"—";190;"74 61 55";0;"Участвуете в конкурсе";1164842;"27.06.2026 в 11:31"
524;3;"—";190;"64 62 64";0;"Участвуете в конкурсе";1256720;"29.06.2026 в 21:38"
525;3;"—";190;"74 59 57";0;"На рассмотрении";1620872;"04.07.2026 в 19:00"
526;3;"—";189;"80 54 55";0;"Участвуете в конкурсе";1195316;"29.06.2026 в 21:56"
527;4;"—";189;"58 64 67";0;"Участвуете в конкурсе";1243548;"29.06.2026 в 21:22"
528;5;"—";189;"72 59 58";0;"На рассмотрении";1395903;"01.07.2026 в 12:42"
529;3;"—";189;"72 56 61";0;"Участвуете в конкурсе";1454217;"02.07.2026 в 09:15"
530;7;"—";189;"64 51 73";1;"На рассмотрении";1151087;"26.06.2026 в 15:43"
531;1;"—";188;"80 48 60";0;"Участвуете в конкурсе";1057057;"30.06.2026 в 07:59"
532;2;"—";188;"64 59 64";1;"Участвуете в конкурсе";1395129;"01.07.2026 в 12:35"
533;3;"—";188;"76 53 58";1;"На рассмотрении";1463080;"02.07.2026 в 10:55"
534;3;"—";186;"72 59 55";0;"Участвуете в конкурсе";1177278;"27.06.2026 в 19:24"
535;4;"—";186;"76 59 51";0;"Участвуете в конкурсе";1184476;"28.06.2026 в 08:44"
536;3;"—";186;"74 67 45";0;"Участвуете в конкурсе";1284672;"29.06.2026 в 22:02"
537;3;"—";186;"52 67 67";0;"Участвуете в конкурсе";1449559;"02.07.2026 в 07:07"
538;5;"—";185;"64 48 73";0;"Участвуете в конкурсе";1435941;"01.07.2026 в 20:35"
539;4;"—";184;"64 62 58";0;"На рассмотрении";1175330;"03.07.2026 в 21:20"
540;4;"—";184;"76 54 54";0;"Участвуете в конкурсе";1263730;"29.06.2026 в 21:48"
541;5;"—";184;"70 62 52";0;"Участвуете в конкурсе";1272045;"29.06.2026 в 21:56"
542;5;"—";184;"76 54 54";0;"Участвуете в конкурсе";1368598;"01.07.2026 в 05:00"
543;7;"—";184;"74 61 49";0;"На рассмотрении";1418458;"01.07.2026 в 16:09"
544;2;"—";184;"74 59 51";0;"На рассмотрении";1574604;"03.07.2026 в 18:53"
545;6;"—";184;"64 56 64";0;"На рассмотрении";1585706;"03.07.2026 в 23:43"
546;3;"—";184;"72 59 52";1;"Участвуете в конкурсе";1341031;"30.06.2026 в 16:06"
547;5;"—";183;"58 54 70";1;"Участвуете в конкурсе";1243544;"29.06.2026 в 21:22"
548;4;"—";182;"64 64 54";0;"Участвуете в конкурсе";993212;"21.06.2026 в 12:43"
549;3;"—";181;"78 48 55";0;"На рассмотрении";1002705;"04.07.2026 в 21:46"
550;1;"Электронное";181;"64 51 66";0;"Участвуете в конкурсе";1424754;"01.07.2026 в 17:25"
551;5;"—";180;"70 59 51";0;"На рассмотрении";1176307;"02.07.2026 в 16:33"
552;4;"—";180;"72 48 60";0;"На рассмотрении";1501001;"02.07.2026 в 16:59"
553;4;"—";179;"70 51 57";1;"Участвуете в конкурсе";1359262;"01.07.2026 в 18:16"
554;2;"Электронное";178;"70 56 52";0;"Передано в вуз";1532980;"05.07.2026 в 10:28"
555;5;"—";178;"58 53 67";0;"На рассмотрении";1613499;"04.07.2026 в 15:32"
556;7;"—";177;"52 59 66";0;"Участвуете в конкурсе";1172629;"27.06.2026 в 16:06"
557;3;"—";176;"64 46 66";0;"Участвуете в конкурсе";1437831;"01.07.2026 в 21:11"
558;1;"Электронное";175;"72 48 55";0;"На рассмотрении";1484403;"03.07.2026 в 08:22"
559;2;"—";175;"52 53 70";0;"На рассмотрении";1587504;"04.07.2026 в 03:17"
560;6;"—";174;"72 51 51";0;"На рассмотрении";1534035;"03.07.2026 в 10:16"
561;1;"—";172;"52 48 72";0;"Участвуете в конкурсе";1062272;"23.06.2026 в 14:16"
562;4;"—";172;"72 51 49";0;"Участвуете в конкурсе";1208391;"28.06.2026 в 20:41"
563;8;"—";172;"52 48 72";0;"Конкурсная группа исключена";1352204;"30.06.2026 в 18:45"
564;2;"—";171;"52 59 60";0;"Участвуете в конкурсе";1160060;"27.06.2026 в 07:15"
565;4;"—";170;"64 62 43";1;"Участвуете в конкурсе";1188198;"28.06.2026 в 11:33"
566;2;"—";169;"58 48 63";0;"Участвуете в конкурсе";1110472;"25.06.2026 в 19:58"
567;4;"—";169;"58 54 57";0;"На рассмотрении";1527668;"03.07.2026 в 08:32"
568;2;"—";167;"64 51 52";0;"Участвуете в конкурсе";1257745;"29.06.2026 в 21:39"
569;4;"—";167;"52 51 64";0;"На рассмотрении";1504348;"02.07.2026 в 17:47"
570;4;"—";166;"58 51 57";0;"Передано в вуз";1266280;"05.07.2026 в 08:45"
571;4;"—";166;"52 53 61";0;"Участвуете в конкурсе";1337527;"30.06.2026 в 17:36"
572;5;"—";166;"70 51 45";0;"Участвуете в конкурсе";1370412;"01.07.2026 в 08:51"
573;4;"—";164;"52 54 58";0;"Участвуете в конкурсе";1130297;"28.06.2026 в 15:20"
574;4;"—";162;"46 56 60";0;"Конкурсная группа исключена";1276402;"29.06.2026 в 21:58"
575;1;"—";160;"58 54 48";0;"Участвуете в конкурсе";1420517;"01.07.2026 в 16:31"
576;5;"—";158;"52 51 55";0;"Конкурсная группа исключена";1186189;"28.06.2026 в 10:22"
577;1;"—";158;"52 48 58";0;"Участвуете в конкурсе";1188031;"28.06.2026 в 12:11"
578;5;"—";157;"46 41 70";0;"Передано в вуз";1525575;"05.07.2026 в 11:05"
579;4;"—";155;"58 48 49";0;"На рассмотрении";1502902;"02.07.2026 в 17:25"
580;2;"—";154;"76 78";0;"Конкурсная группа исключена";1263164;"29.06.2026 в 21:47"
581;1;"—";152;"46 46 60";0;"Участвуете в конкурсе";1186353;"28.06.2026 в 10:29"
582;1;"—";152;"58 46 48";0;"На рассмотрении";1510163;"02.07.2026 в 19:31"
583;3;"—";152;"58 46 48";0;"На рассмотрении";1540002;"03.07.2026 в 17:01"
584;5;"—";152;"34 46 72";0;"На рассмотрении";1575455;"03.07.2026 в 18:58"
585;4;"—";150;"46 44 60";0;"Участвуете в конкурсе";1221792;"29.06.2026 в 08:39"
586;4;"—";146;"52 46 48";0;"На рассмотрении";1487082;"02.07.2026 в 14:38"
587;8;"—";145;"46 44 55";0;"На рассмотрении";1497939;"02.07.2026 в 16:23"
588;4;"—";144;"46 46 52";0;"Конкурсная группа исключена";1257143;"29.06.2026 в 21:38"
589;1;"—";143;"58 34 51";0;"Передано в вуз";1631396;"05.07.2026 в 10:36"
590;3;"Электронное";134;"64 64";6;"На рассмотрении";1089039;"01.07.2026 в 12:03"
591;3;"—";123;"46 40 37";0;"На рассмотрении";1203603;"28.06.2026 в 17:57"
592;5;"—";0;"";0;"На рассмотрении";999904;"21.06.2026 в 18:07"
593;1;"—";0;"";0;"На рассмотрении";1068115;"23.06.2026 в 16:20"
594;2;"—";0;"";10;"На рассмотрении";1075091;"23.06.2026 в 20:56"
595;4;"—";0;"";0;"На рассмотрении";1142913;"26.06.2026 в 12:06"
596;5;"—";0;"";0;"Передано в вуз";1177264;"05.07.2026 в 16:01"
597;3;"—";0;"";0;"На рассмотрении";1202538;"28.06.2026 в 17:28"
598;2;"—";0;"";0;"На рассмотрении";1220659;"29.06.2026 в 08:10"
599;2;"—";0;"";0;"На рассмотрении";1345336;"30.06.2026 в 16:59"
600;3;"—";0;"";0;"Конкурсная группа исключена";1355932;"30.06.2026 в 19:52"
601;4;"—";0;"";0;"На рассмотрении";1428374;"01.07.2026 в 18:22"
602;6;"—";0;"";0;"На рассмотрении";1432542;"01.07.2026 в 19:34"
603;5;"—";0;"";6;"На рассмотрении";1445097;"02.07.2026 в 00:17"
604;5;"Электронное";0;"";0;"На рассмотрении";1454934;"02.07.2026 в 09:25"
605;1;"—";0;"";0;"На рассмотрении";1473781;"02.07.2026 в 12:33"
606;3;"—";0;"";0;"На рассмотрении";1528306;"03.07.2026 в 08:48"
607;4;"—";0;"";0;"На рассмотрении";1626846;"04.07.2026 в 23:59"
608;4;"—";0;"";1;"Передано в вуз";1639250;"05.07.2026 в 14:55"
609;5;"—";0;"";0;"Передано в вуз";1639305;"05.07.2026 в 14:57"
610;6;"—";0;"";0;"Передано в вуз";1639802;"05.07.2026 в 15:10"
611;2;"—";0;"";0;"Передано в вуз";1641782;"05.07.2026 в 16:04"
612;5;"—";0;"";0;"Передано в вуз";1642408;"05.07.2026 в 16:22"
