"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
67;3;"—";254;"82 83 89";0;"На рассмотрении";1541269;"03.07.2026 в 14:01"
68;5;"—";253;"82 90 81";0;"На рассмотрении";1297491;"30.06.2026 в 16:38"
69;4;"—";253;"82 90 81";0;"На рассмотрении";1326209;"30.06.2026 в 13:54"
70;3;"—";253;"86 92 75";0;"На рассмотрении";1453315;"02.07.2026 в 08:58"
71;4;"—";253;"90 88 75";0;"На рассмотрении";1493829;"02.07.2026 в 15:39"
72;3;"—";253;"86 78 89";0;"На рассмотрении";1497561;"02.07.2026 в 16:20"
73;3;"—";253;"84 88 81";0;"На рассмотрении";1505654;"02.07.2026 в 18:07"
74;5;"—";253;"82 85 86";0;"На рассмотрении";1515470;"02.07.2026 в 21:18"
75;1;"—";253;"82 88 83";0;"На рассмотрении";1611339;"04.07.2026 в 14:46"
76;2;"—";253;"72 80 91";10;"На рассмотрении";1014334;"22.06.2026 в 10:24"
77;1;"—";253;"76 78 89";10;"На рассмотрении";1255572;"29.06.2026 в 21:36"
78;5;"—";252;"86 85 81";0;"Конкурсная группа исключена";1048018;"27.06.2026 в 07:48"
79;3;"—";252;"84 93 75";0;"На рассмотрении";1198851;"28.06.2026 в 20:01"
80;5;"—";252;"86 88 78";0;"На рассмотрении";1204474;"01.07.2026 в 19:05"
81;4;"—";252;"92 93 67";0;"На рассмотрении";1500184;"02.07.2026 в 16:48"
82;1;"—";252;"88 94 70";0;"На рассмотрении";1579909;"03.07.2026 в 20:22"
83;4;"—";252;"78 78 86";10;"На рассмотрении";1263148;"29.06.2026 в 21:47"
84;5;"—";251;"90 88 73";0;"На рассмотрении";1472220;"02.07.2026 в 12:22"
85;5;"—";251;"82 88 81";0;"На рассмотрении";1571315;"03.07.2026 в 18:37"
86;4;"—";251;"86 80 75";10;"На рассмотрении";994279;"29.06.2026 в 07:51"
87;2;"—";250;"95 80 75";0;"Передано в вуз";1167545;"05.07.2026 в 12:17"
88;5;"—";250;"82 90 78";0;"На рассмотрении";1283380;"29.06.2026 в 22:01"
89;2;"—";250;"92 83 75";0;"На рассмотрении";1327959;"30.06.2026 в 14:13"
90;5;"—";250;"82 95 73";0;"На рассмотрении";1344099;"30.06.2026 в 16:43"
91;4;"—";250;"84 93 73";0;"На рассмотрении";1403554;"01.07.2026 в 13:51"
92;5;"—";250;"84 88 78";0;"На рассмотрении";1426277;"01.07.2026 в 17:48"
93;3;"—";250;"84 100 66";0;"На рассмотрении";1453352;"02.07.2026 в 08:59"
94;4;"—";250;"92 83 75";0;"На рассмотрении";1488027;"02.07.2026 в 14:43"
95;5;"—";250;"92 88 70";0;"На рассмотрении";1508293;"02.07.2026 в 18:55"
96;5;"—";250;"82 85 83";0;"На рассмотрении";1536645;"03.07.2026 в 10:44"
97;4;"—";250;"86 85 69";10;"На рассмотрении";1220164;"29.06.2026 в 07:54"
98;3;"—";249;"86 72 91";0;"На рассмотрении";1199688;"05.07.2026 в 04:43"
99;5;"—";249;"86 80 83";0;"На рассмотрении";1202594;"28.06.2026 в 17:29"
100;3;"—";249;"84 82 83";0;"На рассмотрении";1247944;"30.06.2026 в 14:19"
101;5;"—";249;"86 93 70";0;"На рассмотрении";1341311;"30.06.2026 в 16:10"
102;3;"—";249;"84 90 75";0;"На рассмотрении";1356601;"30.06.2026 в 20:04"
103;3;"—";249;"92 85 72";0;"На рассмотрении";1371357;"01.07.2026 в 07:23"
104;5;"—";249;"78 85 86";0;"На рассмотрении";1439692;"01.07.2026 в 21:47"
105;2;"—";249;"80 86 83";0;"На рассмотрении";1476133;"02.07.2026 в 12:55"
106;1;"—";249;"84 68 97";0;"На рассмотрении";1595231;"04.07.2026 в 10:22"
107;3;"—";249;"86 88 75";0;"Передано в вуз";1631972;"05.07.2026 в 11:03"
108;5;"—";249;"78 80 81";10;"На рассмотрении";1314361;"30.06.2026 в 11:55"
109;5;"—";248;"86 92 70";0;"На рассмотрении";1188709;"28.06.2026 в 11:49"
110;5;"—";248;"95 72 81";0;"На рассмотрении";1219549;"29.06.2026 в 08:24"
111;4;"—";248;"82 83 83";0;"На рассмотрении";1313298;"30.06.2026 в 11:45"
112;3;"—";248;"96 83 69";0;"На рассмотрении";1335753;"30.06.2026 в 15:22"
113;3;"—";248;"84 75 89";0;"На рассмотрении";1421308;"01.07.2026 в 16:41"
114;5;"—";248;"86 90 72";0;"На рассмотрении";1494974;"02.07.2026 в 15:50"
115;4;"Электронное";248;"80 85 83";0;"На рассмотрении";1559594;"03.07.2026 в 17:46"
116;3;"—";248;"78 90 70";10;"На рассмотрении";1010093;"22.06.2026 в 08:44"
117;5;"—";247;"76 88 83";0;"На рассмотрении";1113324;"25.06.2026 в 10:31"
118;5;"—";247;"84 85 78";0;"На рассмотрении";1186886;"01.07.2026 в 13:23"
119;5;"—";247;"82 90 75";0;"На рассмотрении";1218012;"30.06.2026 в 19:38"
