"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
710;2;"—";180;"72 56 52";0;"На рассмотрении";1310851;"30.06.2026 в 15:58"
711;2;"—";179;"58 40 81";0;"На рассмотрении";1241863;"29.06.2026 в 21:20"
712;1;"—";179;"58 70 51";0;"На рассмотрении";1381404;"03.07.2026 в 18:24"
713;2;"—";179;"40 59 70";10;"Участвуете в конкурсе";1169991;"27.06.2026 в 14:22"
714;2;"—";178;"58 54 66";0;"На рассмотрении";1375141;"01.07.2026 в 09:08"
715;3;"—";178;"58 48 72";0;"На рассмотрении";1379058;"01.07.2026 в 10:03"
716;2;"—";178;"64 54 60";0;"На рассмотрении";1423309;"01.07.2026 в 17:06"
717;4;"—";178;"68 56 54";0;"На рассмотрении";1456294;"02.07.2026 в 10:27"
718;2;"—";178;"76 51 51";0;"На рассмотрении";1486402;"02.07.2026 в 14:37"
719;2;"—";178;"64 48 66";0;"На рассмотрении";1555943;"03.07.2026 в 17:24"
720;5;"—";177;"64 59 54";0;"Передано в вуз";1631666;"05.07.2026 в 10:50"
721;1;"—";176;"64 67 45";0;"На рассмотрении";1373595;"01.07.2026 в 08:33"
722;5;"—";176;"64 54 58";0;"На рассмотрении";1578845;"03.07.2026 в 19:53"
723;5;"—";175;"46 62 67";0;"На рассмотрении";1254156;"29.06.2026 в 21:34"
724;4;"—";175;"64 56 55";0;"Передано в вуз";1630249;"05.07.2026 в 09:15"
725;5;"—";174;"64 58 52";0;"Участвуете в конкурсе";1260758;"29.06.2026 в 21:44"
726;4;"—";174;"52 59 63";0;"На рассмотрении";1310003;"30.06.2026 в 11:13"
727;1;"—";174;"70 62 42";0;"На рассмотрении";1617483;"04.07.2026 в 17:12"
728;4;"—";173;"52 58 63";0;"На рассмотрении";988798;"01.07.2026 в 17:05"
729;2;"—";173;"52 58 63";0;"На рассмотрении";1254618;"29.06.2026 в 21:35"
730;4;"—";172;"64 51 57";0;"На рассмотрении";1183305;"29.06.2026 в 21:12"
731;1;"—";172;"52 62 58";0;"Конкурсная группа исключена";1449187;"02.07.2026 в 06:51"
732;4;"—";171;"58 62 51";0;"На рассмотрении";1244975;"29.06.2026 в 21:24"
733;4;"—";171;"70 46 55";0;"На рассмотрении";1254008;"29.06.2026 в 21:34"
734;3;"—";171;"58 59 54";0;"На рассмотрении";1375753;"01.07.2026 в 09:18"
735;2;"—";171;"58 67 46";0;"Конкурсная группа исключена";1401737;"01.07.2026 в 13:34"
736;2;"—";170;"72 40 58";0;"На рассмотрении";1239518;"29.06.2026 в 21:17"
737;3;"—";170;"70 48 52";0;"На рассмотрении";1258344;"29.06.2026 в 21:40"
738;1;"—";169;"58 54 57";0;"На рассмотрении";1189615;"28.06.2026 в 12:16"
739;2;"—";169;"58 59 52";0;"На рассмотрении";1526437;"03.07.2026 в 07:53"
740;3;"—";167;"58 54 55";0;"На рассмотрении";1134919;"28.06.2026 в 14:07"
741;5;"—";166;"58 54 54";0;"На рассмотрении";1244580;"01.07.2026 в 09:44"
742;1;"—";166;"64 51 51";0;"На рассмотрении";1278990;"04.07.2026 в 17:54"
743;1;"—";166;"58 48 60";0;"На рассмотрении";1625243;"04.07.2026 в 21:52"
744;5;"—";165;"64 44 57";0;"На рассмотрении";1485812;"02.07.2026 в 14:23"
745;5;"—";164;"58 64 42";0;"На рассмотрении";1269932;"30.06.2026 в 13:45"
746;5;"—";164;"58 48 58";0;"На рассмотрении";1304524;"30.06.2026 в 11:59"
